City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,egilsstadir,65.2653,-14.3948,0.95,100,100,1.54,IS,1729727741
181,kruisfontein,-34.0033,24.7314,14.44,92,8,2.54,ZA,1729727742
182,alushta,44.6667,34.4167,13.95,78,60,3.11,UA,1729727744
183,qarshi,38.8667,65.8,5.9,93,0,0.0,UZ,1729727745
184,kenora,49.8167,-94.4337,5.54,75,40,5.66,CA,1729727746
185,whitehorse,60.7161,-135.0538,0.01,92,100,2.06,CA,1729727747
186,san antonio,29.4241,-98.4936,30.52,46,0,3.0,US,1729727748
187,buzuluk,52.7807,52.2635,10.55,72,100,5.61,RU,1729727749
188,bel ombre,-4.6167,55.4167,26.91,78,75,1.54,SC,1729727750
189,nurota,40.5614,65.6886,6.83,63,7,1.83,UZ,1729727751
190,usogorsk,63.4106,48.6872,5.42,84,100,3.95,RU,1729727752
191,gizo,-8.103,156.8419,28.88,71,100,3.65,SB,1729727754
192,port lincoln,-34.7333,135.8667,15.39,51,97,4.43,AU,1729727756
193,st. john's,47.5649,-52.7093,10.54,89,0,8.75,CA,1729727757
194,lerwick,60.1545,-1.1494,11.3,89,100,10.04,GB,1729727758
195,saipan,15.1355,145.701,29.39,84,40,5.14,MP,1729727759
196,xining,36.6167,101.7667,5.5,48,9,1.64,CN,1729727760
197,debark',13.1561,37.8981,10.43,76,66,1.07,ET,1729727761
198,wardha,20.75,78.6167,20.86,59,97,1.96,IN,1729727762
199,mount pearl,47.5166,-52.7813,10.08,90,0,8.75,CA,1729727764
200,uyar,55.81,94.3153,-2.18,95,100,1.44,RU,1729727765
201,mahina,-17.5065,-149.489,27.87,78,100,2.57,PF,1729727766
202,susuman,62.7833,148.1667,-21.43,98,90,0.95,RU,1729727711
203,kalmunai,7.4167,81.8167,25.88,87,100,2.88,LK,1729727768
204,fort morgan,40.2503,-103.8,20.36,40,0,6.69,US,1729727769
205,kaoma,-14.7833,24.8,22.91,45,81,2.34,ZM,1729727770
206,puerto penasco,31.3167,-113.5333,28.28,57,32,1.79,MX,1729727771
207,mar del plata,-38.0023,-57.5575,15.49,76,100,8.94,AR,1729727509
208,nathdwara,24.9333,73.8167,22.18,34,3,2.5,IN,1729727774
209,vorkuta,67.5,64.0,-4.88,93,95,2.15,RU,1729727775
210,estevan,49.1334,-102.9842,10.11,50,0,4.12,CA,1729727776
211,salamanca,40.8333,-6.0,12.48,82,35,1.38,ES,1729727777
212,sao vicente,-23.9631,-46.3919,22.75,26,100,0.89,BR,1729727778
213,ceerigaabo,10.6162,47.368,18.24,73,49,3.33,SO,1729727779
214,ancud,-41.8697,-73.8203,10.35,91,41,4.56,CL,1729727780
215,zaozersk,69.4005,32.4476,1.57,89,15,2.72,RU,1729727782
216,dudinka,69.4058,86.1778,-16.51,97,100,3.08,RU,1729727783
217,tari,-11.1105,14.3559,19.48,93,100,0.63,AO,1729727784
218,surgut,61.25,73.4167,1.1,100,100,3.0,RU,1729727785
219,blagoveshchensk,50.2667,127.5333,-0.66,80,40,2.0,RU,1729727786
220,tralee,52.2704,-9.7026,13.79,79,100,9.4,IE,1729727787
221,karratha,-20.7377,116.8463,30.86,35,54,2.93,AU,1729727788
222,chukhloma,58.7525,42.6825,6.86,89,100,4.64,RU,1729727789
223,talnakh,69.4865,88.3972,-17.69,95,88,3.5,RU,1729727658
224,webb city,37.1465,-94.463,23.54,51,2,0.45,US,1729727792
225,nadym,65.5333,72.5167,-1.85,96,99,7.26,RU,1729727793
226,shenkursk,62.1091,42.896,6.49,88,100,2.84,RU,1729727794
227,kenai,60.5544,-151.2583,6.19,36,0,4.63,US,1729727795
228,isola di capo rizzuto,38.96,17.0933,19.44,77,57,1.22,IT,1729727796
229,galle,6.0367,80.217,26.46,82,96,3.95,LK,1729727797
230,luanda,-8.8368,13.2343,25.0,83,75,3.09,AO,1729727670
231,kingston,17.997,-76.7936,29.53,79,20,4.12,JM,1729727799
232,alotau,-10.3069,150.4462,29.43,62,98,2.39,PG,1729727801
233,soroca,48.1558,28.2975,7.38,82,15,2.27,MD,1729727802
234,alofi,-19.0595,-169.9187,26.94,65,20,8.75,NU,1729727804
235,anadyr,64.75,177.4833,-5.72,67,40,8.0,RU,1729727805
236,staraya vichuga,57.2683,41.8787,7.95,78,100,8.91,RU,1729727806
237,pahlgam,34.0333,75.3333,3.86,59,1,2.98,IN,1729727807
238,serowe,-22.3833,26.7167,21.21,68,0,6.34,BW,1729727809
239,namibe,-15.1961,12.1522,17.99,75,20,3.14,AO,1729727810
240,armacao de buzios,-22.7469,-41.8817,23.09,89,34,5.54,BR,1729727811
241,sorong,-0.8833,131.25,27.73,76,100,3.58,ID,1729727812
242,geraldton,-28.7667,114.6,17.23,67,0,3.6,AU,1729727813
243,crolles,45.282,5.8782,13.79,94,33,1.37,FR,1729727814
244,viqueque,-8.8673,126.3658,29.7,56,3,2.05,TL,1729727815
245,shimoda,34.6667,138.95,25.01,83,75,0.11,JP,1729727816
246,laascaanood,8.4774,47.3597,25.69,63,48,7.25,SO,1729727818
247,pointe-noire,-4.7761,11.8635,25.14,90,100,4.04,CG,1729727819
248,quellon,-43.1167,-73.6167,10.76,89,62,2.7,CL,1729727820
249,rokytne,51.2796,27.214,5.75,93,27,2.77,UA,1729727821
250,kapa'a,22.0752,-159.319,29.18,73,0,3.6,US,1729727822
251,katsuura,35.1333,140.3,24.41,83,80,3.31,JP,1729727823
252,prince rupert,54.3161,-130.3201,8.83,80,100,6.17,CA,1729727825
253,lianzhou,24.7811,112.3825,14.72,71,56,2.38,CN,1729727827
254,invercargill,-46.4,168.35,15.01,98,100,3.13,NZ,1729727828
